Disease	gene
Genetic epilepsy syndromes	MACF1
Genetic epilepsy syndromes	MAF
Genetic epilepsy syndromes	MAGI2
Genetic epilepsy syndromes	MAP2K1
Genetic epilepsy syndromes	MAP2K2
Genetic epilepsy syndromes	MED12
Genetic epilepsy syndromes	MFSD8
Genetic epilepsy syndromes	MLC1
Genetic epilepsy syndromes	MMACHC
Genetic epilepsy syndromes	MMADHC
Genetic epilepsy syndromes	MOCS1
Genetic epilepsy syndromes	MOCS2
Genetic epilepsy syndromes	MPDU1
Genetic epilepsy syndromes	MTHFR
Genetic epilepsy syndromes	MTR
Genetic epilepsy syndromes	NAGA
Genetic epilepsy syndromes	NARS2
Genetic epilepsy syndromes	NBEA
Genetic epilepsy syndromes	NDE1
Genetic epilepsy syndromes	NDUFA1
Genetic epilepsy syndromes	NDUFA10
Genetic epilepsy syndromes	NDUFAF2
Genetic epilepsy syndromes	NDUFAF5
Genetic epilepsy syndromes	NDUFS4
Genetic epilepsy syndromes	NDUFS8
Genetic epilepsy syndromes	NDUFV1
Genetic epilepsy syndromes	NGLY1
Genetic epilepsy syndromes	NHLRC1
Genetic epilepsy syndromes	NPRL3
Genetic epilepsy syndromes	NRXN1
Genetic epilepsy syndromes	NSD1
Genetic epilepsy syndromes	NSDHL
Genetic epilepsy syndromes	NTRK2
Genetic epilepsy syndromes	OCLN
Genetic epilepsy syndromes	OPHN1
Genetic epilepsy syndromes	OTUD6B
Genetic epilepsy syndromes	PACS1
Genetic epilepsy syndromes	PACS2
Genetic epilepsy syndromes	PAFAH1B1
Genetic epilepsy syndromes	PAH
Genetic epilepsy syndromes	PCCA
Genetic epilepsy syndromes	PCCB
Genetic epilepsy syndromes	PCDH12
Genetic epilepsy syndromes	PDHA1
Genetic epilepsy syndromes	PDHX
Genetic epilepsy syndromes	PET100
Genetic epilepsy syndromes	PEX1
Genetic epilepsy syndromes	PEX10
Genetic epilepsy syndromes	PEX12
Genetic epilepsy syndromes	PEX13
Genetic epilepsy syndromes	PEX19
Genetic epilepsy syndromes	PEX2
Genetic epilepsy syndromes	PEX3
Genetic epilepsy syndromes	PEX6
Genetic epilepsy syndromes	PEX7
Genetic epilepsy syndromes	PHACTR1
Genetic epilepsy syndromes	PHGDH
Genetic epilepsy syndromes	PIGG
Genetic epilepsy syndromes	PIGO
Genetic epilepsy syndromes	PIGW
Genetic epilepsy syndromes	PIK3CA
Genetic epilepsy syndromes	PIK3R2
Genetic epilepsy syndromes	PLAA
Genetic epilepsy syndromes	PMM2
Genetic epilepsy syndromes	POMGNT1
Genetic epilepsy syndromes	POMT1
Genetic epilepsy syndromes	PPP3CA
Genetic epilepsy syndromes	PPT1
Genetic epilepsy syndromes	PRICKLE1
Genetic epilepsy syndromes	PRMT7
Genetic epilepsy syndromes	PSAP
Genetic epilepsy syndromes	PTEN
Genetic epilepsy syndromes	PTPN23
Genetic epilepsy syndromes	PTS
Genetic epilepsy syndromes	QDPR
Genetic epilepsy syndromes	RAB11B
Genetic epilepsy syndromes	RAB18
Genetic epilepsy syndromes	RALA
Genetic epilepsy syndromes	RARS2
Genetic epilepsy syndromes	RELN
